label,content,,,
1,"a ""racist"" barbie doll? damn why does everything always have to be about race? if black people didn't raise their children to hate whites...",,,
1,"@barbiebeatd0wn eww, i hate black people",,,
1,@iamuzi all i sed is i've always wanted to say dis and not get attacked....i hate black girls lol,,,
1,@melamachinko racism isnt cool : / unless you hate white people...yeah i know i know...self loathing complex,,,
1,rt @danae1018 i hate black ppl!!!!!!!!! < black ppl hate u too.....,,,
1,rt @danae1018 rt @datboul1: rt @danae1018 i hate black ppl!!!!!!!!! < black ppl hate u too.....Â«foh! where r u? < at the ez up drunk as shyt,,,
1,ftswindle!! uh bruh.....u black o_o rt @djcoreygrand: i hate black people with power,,,
1,"random napkins at starbucks, things like ""tell the police before it gets out of hand"" and ""you hate white people and span ...",,,
1,i just realized how much i hate white people., it's so clever you want to hate it . but he somehow pulls it off .,,
1,"@igaaragirl lol yea, how can a black man hate black ppl i just dont get it",,,
1,i hate black people oh em jesus yo.they erk me! :: oct.9th@923,oct.30th@celebrationhall!! ... http://lnk.ms/2fl1p,,
1,i hate black people..seriously,,,
1,"@drawzilla that's why i hate black people ,they always correcting you and shit......lol",,,
1,"you hate black people too right? ""i wouldn't exactly call them people."" hahahahahah",,,
1,i hate black cops,,,
1,"@lanicew88 ...1 of the anchors said that jews were responsible for all the world's wars & other 1 said, ""i just flat out hate black people.""",,,
1,"dead prez - let's get free is a great record, even though it's about how much they hate white people. i recommend.",,,
1,"rt @thickredbonee @airforce_low - aha , u hate white people ? hell 2 da nah i love white people u crazzy i said he is white and hates whites",,,
1,i was just at the supermarket and some white boy causes a scene. i hate white ppls!! damn gringos we should deport them. @moas_arch lmaooo!,,,
1,"im tired of all these racist bitches at school. ""i hate white people because they're annoying?"" you are white skinned too! && youre the pain",,,
1,fuck white people ... http://lnk.ms/2mq2z,,,
1,@dkleefarnsworth yeah i hate white people and people of french decent. i'm not afraid to say it.,,,
1,"im scared very scared. the world is a big place and i dont understand it, oh well i wont try too, i will just hate black people instead",,,
1,we hate blacks just as much ... byeeeee rt @bklyncarter i hateeeeeeeeeeeeeeeee spanish ppl! smh,,,
1,i hate white people txt me ... http://lnk.ms/1nnts,,,
1,@shabookie good id b worried if it was anymore than a little bit.. i mean u do hate black ppl! lmao,,,
1,@toddknife i guess i meant he should use words with crisp consonants because he says them so sharp, you know i hate white people.,,
1,rt @steve_mckay: the first and last thing required of genius is the love of truth. im gay and i hate black people.,,,
1,yeah they suck n stuff. rt @mattattackup: i hate white people. who's with me?,,,
1,i hate black peopleee,,,
1,@modollas08 haha it just got to the part where we decided we hate black skin,,,
1,wow!!! lmfao!!! rt @marlyguy: @deedeeroc i don't know why you're surprised by anything bet does. they hate black people.,,,
1,rt @anggnicoleee: i fucking hate black people.,,,
1,@evelyncates and they hate white people. they rule.,,,
1,this guy dead wrote in his away i hate black/moreno people and idgaf. like seriously how old are you?,,,
1,rt @officialalexis: rt @ron_lb #thingsblackpeoplesay i hate black ppl lol <---lmao i say dhat all the time. <=me too,,,
1,audio: andrew jackson jihad - fuck white people this is exactly what i think about everything. and who... http://tumblr.com/x7v3fd85s,,,
1,chillin with @whoistaylorj and waiting to leave for #whathappenedwe hate black people anddnesday,,,
1,i hate black ppl,,,
1,i commented on a youtube video -- why do you assume i hate whites? http://bit.ly/4ooql,,,
1,gawd i hate black people...,,,
1,rt @colbydomino: living we hate black people andll is the best revenge.,,,
1,just retwisted my brother hair for free and this bitch act like he can't give me a ride...smmfh this is why i hate black ppl,,,
1,"i do too!!! lolrt @drjoegaiter: i hate black people. ughh.. never start shit on time. never have shit together, and want me to judge thi ...",,,
1,i hate white towels,,,
1,nah like i really fucking hate black ppl now.... im with my daddy to punta cana... get the fuck outta here,,,
1,@the_corbinator i hate black ppl,,,
1,i hate black girls more and more everyday.,,,
1,its official. i hate black people!,,,
1,i hate white walls. they annoy the hell out of me. their like blank faces that need some color,,,
0,Retrieving data. Wait a few seconds and try to cut or copy again.,,,
0,Retrieving data. Wait a few seconds and try to cut or copy again.,,,
0,I do n't know who to support anymore ................,,,
0,I've read many post on here saying Israel gives training to US law enforcement .,,,
0,I believe his dog would like to get as far away from him as possible !,,,
0,Free North Carolina : Peterson 's particulars VikingInMe,,,
0,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",,,
0,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,,,
0,I do n't watch T.V. or Hollywood movies .,,,
0,I know of Chris Rock and subsequently have hated him for a long time .,,,
0,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .,,,
0,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube .",,,
0,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube .",,,
0,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,,,
0,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,,,
0,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .,,,
0,com/watch ? v = n663eVTSyS8,,,
0,Note!,,,
0,"Wntube is now .net , not .com.",,,
0,They have improved the site .,,,
0,Please contribute and/or donate .,,,
0,http://www.wntube.net/play.php ? vid = 1428 & code = 108,,,
0,Welcome to the front lines ...,,,
0,"Folk , Faith , Family Hail Victory !!",,,
0,Protesters Clash during Military Parade in Barking,,,
0,Does this not show how stupid these folks can be ?,,,
0,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us .",,,
0,Nice to know that are still a few men out there who `` have a pair '' .,,,
0,Your courage and honestly are apprecated .,,,
0,Jesus Christ is Lord indeed .,,,
0,Y' all have a nice day .,,,
0,The sooner the better .,,,
0,"Yeah, but no one will ever hear of this .",,,
0,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,,,
0,That's all I needed to hear .,,,
0,* Unsubscribed * Off to the SA threads .,,,
0,There are White folks that require a little of our time .,,,
0,I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,,,
0,I'm sad to find this out right now but I 'm also sorry to inform you that Kevin was killed several years ago .,,,
0,http://www.visioncircle.org/archive/003870.html,,,
0,I'm having a hard time believing this .,,,
0,I have 2 friends in CS and neither has EVER worked with a black .,,,
0,"All their coworkers are white , NE asian or indian/paki , except one guy worked with a mestizo for a few weeks on a project .",,,
0,"Hundreds of people , but no blacks !",,,
0,"I also attended a Masters/PhD graduation ceremony at a major state university a few years ago - none of the CS degrees were awarded to blacks. [ a couple computer degrees went to blacks , but they were in IT with a focus on internet marketing/web-commerce ] So where are all these black computer geniuses hiding ?",,,
0,"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",,,
0,"Unfortunately , there are some poor White families where both parents work .",,,
0,"Perhaps if a school district has only a few White families left , they could get together and each parent could teach the kids one day per week .",,,
0,The parents who could n't teach on weekdays could teach on Saturday .,,,
0,That was me .,,,
0,I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, two birds one stone .,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, it's just too bad it doesn't have more flashes of insight .,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, Kenya - Hacked to death by panga in front of film crew & #x202c , & rlm ,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, the average parent is a poor teacher .,,
,, why do n't whites ?,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, you can hate yourself later .,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, this one is a feast .,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
